Student ID,Hours
758,1.16
8325,1.32
9308,1.46
6248,1.51
7144,1.72
8321,1.8
4919,1.89
8177,1.94
6123,2.08
0034,2.12
4181,2.13
0027,2.24
4657,2.26
5639,2.33
6152,3.41
6398,3.49
6399,3.5
2108,3.61
8389,4.2
6999,4.32
9816,4.32
2347,4.54
<Unlisted>,4.919999999999998
1097,5.84
237,6.22
7006,6.66
7024,8.0
9102,8.09
7363,8.16
7108,9.24
7900,11.21
0219,13.06
8530,13.12
2991,13.46
3033,14.34
2150,15.33
3122,16.19
1025,17.76
8503,18.39
2688,19.13
2297,22.28
7127,24.01
6502,25.32
6171,25.84
2974,31.85
3077,33.85
7007,34.94
0500,35.24
0123,40.47
6122,41.01
4629,41.63
9330,41.77
0552,46.84
9949,47.95
8675,54.3
8311,54.78
8223,59.95
9716,60.5
0644,64.92
0461,67.85
8313,68.84
2524,71.43
1344,77.18
5255,79.4
3353,79.58
3974,85.42
4047,95.38
6099,98.42
8314,105.09
9824,106.23
4857,106.55
1448,108.3
8544,110.98
9645,110.98
3350,119.01
0128,119.41
6582,120.5
2194,121.16
8419,154.41
1269,173.52
7081,187.71
<Total Hours>,3421.0
