Student ID,Hours
758,1.16
8325,1.32
9308,1.46
6248,1.51
7144,1.72
8321,1.8
4919,1.89
8177,1.94
6123,2.08
0034,2.12
4181,2.13
0027,2.24
4657,2.26
5639,2.33
9816,2.41
6152,3.41
6398,3.49
6399,3.5
2108,3.61
8389,4.2
<Unlisted>,4.259999999999999
6999,4.32
2347,4.54
1097,5.84
237,6.22
7006,6.66
7024,8.0
9102,8.09
7363,8.16
7108,9.24
2150,10.93
7900,11.21
0219,13.06
8530,13.12
2991,13.46
3033,14.03
3122,16.19
1025,17.76
8503,18.39
2688,19.13
2297,21.25
7127,22.53
3077,23.83
6502,25.32
6171,25.84
2974,31.85
7007,34.94
0500,35.24
0123,40.47
6122,41.01
4629,41.63
9330,41.77
0552,42.34
9949,47.95
8675,49.03
9716,51.14
0461,52.22
8311,54.78
8223,56.74
8313,57.31
0644,58.56
2524,64.01
1344,64.39
3353,72.64
5255,72.82
3974,76.36
6099,83.02
4047,84.42
9824,84.65
8314,92.89
4857,96.08
1448,96.97
8544,99.69
6582,101.13
9645,102.76
3350,102.83
2194,110.49
0128,112.99
1269,130.64
8419,141.85
7081,162.91
<Total Hours>,3068.0
