Student ID,Hours
758,1.16
8325,1.32
9308,1.46
6248,1.51
7144,1.72
8321,1.8
4919,1.89
8177,1.94
6123,2.08
0034,2.12
4181,2.13
0027,2.24
4657,2.26
5639,2.33
6398,3.49
6399,3.5
2108,3.61
8389,4.2
9816,4.32
6999,4.32
2347,4.54
<Unlisted>,4.919999999999998
1097,5.84
237,6.22
7006,6.66
7024,8.0
9102,8.09
7363,8.16
7108,9.24
7900,11.21
0219,13.06
8530,13.12
2991,13.46
3033,15.85
3122,16.19
1025,17.76
2150,17.78
8503,18.39
2688,19.13
2297,23.7
6502,25.32
6171,25.84
7127,28.66
2974,33.79
3077,33.85
7007,34.94
0500,35.24
6152,37.16
0123,40.47
6122,41.01
4629,41.63
9330,41.77
9949,47.95
0552,48.87
8675,54.3
8311,54.78
8223,59.95
9716,64.91
0644,68.41
0461,69.11
8313,71.54
2524,73.53
1344,77.18
3353,82.28
5255,84.45
3974,91.57
4047,96.33
6099,101.16
8314,105.09
1448,108.3
8544,110.98
9645,113.94
4857,114.04
9824,116.01
0128,119.41
3350,121.05
2194,125.72
6582,127.3
8419,175.91
1269,204.18
7081,216.85
<Total Hours>,3615.0
