Student ID,Hours
758,1.16
8325,1.32
9308,1.46
6248,1.51
7144,1.72
8321,1.8
4919,1.89
8177,1.94
6123,2.08
0034,2.12
4181,2.13
0027,2.24
4657,2.26
5639,2.33
9816,2.41
6152,3.41
6398,3.49
6399,3.5
2108,3.61
8389,4.2
6999,4.32
2347,4.54
<Unlisted>,4.919999999999998
1097,5.84
237,6.22
7006,6.66
7024,8.0
9102,8.09
7363,8.16
7108,9.24
2150,10.93
7900,11.21
0219,13.06
8530,13.12
2991,13.46
3033,14.03
3122,16.19
1025,17.76
8503,18.39
2688,19.13
2297,22.28
7127,22.53
6502,25.32
6171,25.84
2974,31.85
3077,33.85
7007,34.94
0500,35.24
0123,40.47
6122,41.01
4629,41.63
9330,41.77
0552,42.34
9949,47.95
8675,52.99
9716,53.86
8311,54.78
8223,59.95
0644,60.63
0461,62.12
2524,65.48
8313,66.04
5255,74.76
3974,76.36
1344,77.18
3353,79.58
4047,91.45
6099,92.49
9824,93.18
4857,99.99
8314,100.51
1448,102.99
9645,105.66
8544,109.17
2194,112.29
6582,112.68
3350,115.14
0128,117.91
8419,145.08
1269,151.55
7081,167.99
<Total Hours>,3248.0
